"state","city_key","city"
"AK","adak","Adak"
"AK","akhiok","Akhiok"
"AK","akiachak","Akiachak"
"AK","akiak","Akiak"
"AK","akutan","Akutan"
"AK","alakanuk","Alakanuk"
"AK","alatna","Alatna"
"AK","alcan border","Alcan Border"
"AK","aleknagik","Aleknagik"
"AK","aleneva","Aleneva"
"AK","allakaket","Allakaket"
"AK","ambler","Ambler"
"AK","anaktuvuk pass","Anaktuvuk Pass"
"AK","anchor point","Anchor Point"
"AK","anchorage","Anchorage"
"AK","anderson","Anderson"
"AK","angoon","Angoon"
"AK","aniak","Aniak"
"AK","anvik","Anvik"
"AK","arctic village","Arctic Village"
"AK","atka","Atka"
"AK","atmautluak","Atmautluak"
"AK","atqasuk","Atqasuk"
"AK","attu station","Attu Station"
"AK","badger","Badger"
"AK","bear creek","Bear Creek"
"AK","beaver","Beaver"
"AK","beluga","Beluga"
"AK","bethel","Bethel"
"AK","bettles","Bettles"
"AK","big delta","Big Delta"
"AK","big lake","Big Lake"
"AK","birch creek","Birch Creek"
"AK","brevig mission","Brevig Mission"
"AK","buckland","Buckland"
"AK","buffalo soapstone","Buffalo Soapstone"
"AK","butte","Butte"
"AK","cantwell","Cantwell"
"AK","central","Central"
"AK","chalkyitsik","Chalkyitsik"
"AK","chase","Chase"
"AK","chefornak","Chefornak"
"AK","chena ridge","Chena Ridge"
"AK","chenega","Chenega"
"AK","chevak","Chevak"
"AK","chickaloon","Chickaloon"
"AK","chicken","Chicken"
"AK","chignik","Chignik"
"AK","chignik lagoon","Chignik Lagoon"
"AK","chignik lake","Chignik Lake"
"AK","chiniak","Chiniak"
"AK","chisana","Chisana"
"AK","chistochina","Chistochina"
"AK","chitina","Chitina"
"AK","chuathbaluk","Chuathbaluk"
"AK","circle","Circle"
"AK","clam gulch","Clam Gulch"
"AK","clark's point","Clark's Point"
"AK","coffman cove","Coffman Cove"
"AK","cohoe","Cohoe"
"AK","cold bay","Cold Bay"
"AK","coldfoot","Coldfoot"
"AK","college","College"
"AK","cooper landing","Cooper Landing"
"AK","copper center","Copper Center"
"AK","cordova","Cordova"
"AK","covenant life","Covenant Life"
"AK","craig","Craig"
"AK","crooked creek","Crooked Creek"
"AK","crown point","Crown Point"
"AK","deering","Deering"
"AK","delta junction","Delta Junction"
"AK","deltana","Deltana"
"AK","denali park","Denali Park"
"AK","diamond ridge","Diamond Ridge"
"AK","dillingham","Dillingham"
"AK","diomede","Diomede"
"AK","dot lake","Dot Lake"
"AK","dot lake village","Dot Lake Village"
"AK","dry creek","Dry Creek"
"AK","eagle","Eagle"
"AK","eagle village","Eagle Village"
"AK","eareckson station","Eareckson Station"
"AK","edna bay","Edna Bay"
"AK","eek","Eek"
"AK","egegik","Egegik"
"AK","eielson afb","Eielson AFB"
"AK","ekwok","Ekwok"
"AK","elfin cove","Elfin Cove"
"AK","elim","Elim"
"AK","emmonak","Emmonak"
"AK","ester","Ester"
"AK","eureka roadhouse","Eureka Roadhouse"
"AK","evansville","Evansville"
"AK","excursion inlet","Excursion Inlet"
"AK","fairbanks","Fairbanks"
"AK","false pass","False Pass"
"AK","farm loop","Farm Loop"
"AK","farmers loop","Farmers Loop"
"AK","ferry","Ferry"
"AK","fishhook","Fishhook"
"AK","flat","Flat"
"AK","fort greely","Fort Greely"
"AK","fort yukon","Fort Yukon"
"AK","four mile road","Four Mile Road"
"AK","fox","Fox"
"AK","fox river","Fox River"
"AK","fritz creek","Fritz Creek"
"AK","funny river","Funny River"
"AK","gakona","Gakona"
"AK","galena","Galena"
"AK","gambell","Gambell"
"AK","game creek","Game Creek"
"AK","gateway","Gateway"
"AK","glacier view","Glacier View"
"AK","glennallen","Glennallen"
"AK","goldstream","Goldstream"
"AK","golovin","Golovin"
"AK","goodnews bay","Goodnews Bay"
"AK","grayling","Grayling"
"AK","gulkana","Gulkana"
"AK","gustavus","Gustavus"
"AK","haines","Haines"
"AK","halibut cove","Halibut Cove"
"AK","happy valley","Happy Valley"
"AK","harding-birch lakes","Harding-Birch Lakes"
"AK","healy","Healy"
"AK","healy lake","Healy Lake"
"AK","hobart bay","Hobart Bay"
"AK","hollis","Hollis"
"AK","holy cross","Holy Cross"
"AK","homer","Homer"
"AK","hoonah","Hoonah"
"AK","hooper bay","Hooper Bay"
"AK","hope","Hope"
"AK","houston","Houston"
"AK","hughes","Hughes"
"AK","huslia","Huslia"
"AK","hydaburg","Hydaburg"
"AK","hyder","Hyder"
"AK","igiugig","Igiugig"
"AK","iliamna","Iliamna"
"AK","ivanof bay","Ivanof Bay"
"AK","juneau","Juneau"
