source_row,domain,site_id,list_url,careers_url,status_code,job_links_found,sample_job_url,sample_title,error,elapsed_seconds
32,4county.applicantpro.com,13721,https://4county.applicantpro.com/core/jobs/13721?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://4county.applicantpro.com/jobs/,200,1,https://4county.applicantpro.com/jobs/4159302,Utility Maintenance Technician,,0.70
149,aerowavetech.applicantpro.com,18437,https://aerowavetech.applicantpro.com/core/jobs/18437?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://aerowavetech.applicantpro.com/jobs/,200,1,https://aerowavetech.applicantpro.com/jobs/4110467,Alarm & Surveillance Technician,,0.69
180,airbusspaceanddefense.applicantpro.com,3546,https://airbusspaceanddefense.applicantpro.com/core/jobs/3546?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://airbusspaceanddefense.applicantpro.com/jobs/,200,32,https://airbusspaceanddefense.applicantpro.com/jobs/4162219,Assembly I&T Technician III (Second Shift),,0.68
233,alliancehcm.applicantpro.com,15772,https://alliancehcm.applicantpro.com/core/jobs/15772?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://alliancehcm.applicantpro.com/jobs/,200,21,https://alliancehcm.applicantpro.com/jobs/4119792,Onboarding Data Specialist,,0.72
276,amerapex.applicantpro.com,16714,https://amerapex.applicantpro.com/core/jobs/16714?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://amerapex.applicantpro.com/jobs/,200,9,https://amerapex.applicantpro.com/jobs/4016330,Business Development - (Nationwide Sales Territory),,0.68
303,ampierce.applicantpro.com,15078,https://ampierce.applicantpro.com/core/jobs/15078?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://ampierce.applicantpro.com/jobs/,200,7,https://ampierce.applicantpro.com/jobs/4162821,Business Analyst,,0.69
410,archny.applicantpro.com,3256,https://archny.applicantpro.com/core/jobs/3256?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://archny.applicantpro.com/jobs/,200,32,https://archny.applicantpro.com/jobs/4155221,Administrative Assistant/Front Office Administrator,,0.73
413,arcofcs.applicantpro.com,6994,https://arcofcs.applicantpro.com/core/jobs/6994?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://arcofcs.applicantpro.com/jobs/,200,15,https://arcofcs.applicantpro.com/jobs/4038972,Activities Coordinator,,0.68
422,argocyber.applicantpro.com,12860,https://argocyber.applicantpro.com/core/jobs/12860?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://argocyber.applicantpro.com/jobs/,200,22,https://argocyber.applicantpro.com/jobs/4163207,A&A Analyst,,0.62
441,arrowexterminators.applicantpro.com,4782,https://arrowexterminators.applicantpro.com/core/jobs/4782?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://arrowexterminators.applicantpro.com/jobs/,200,64,https://arrowexterminators.applicantpro.com/jobs/4152614,Carpenter,,0.69
463,asirobots.applicantpro.com,863,https://asirobots.applicantpro.com/core/jobs/863?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://asirobots.applicantpro.com/jobs/,200,66,https://asirobots.applicantpro.com/jobs/3942457,AI Engineer IV (Embedded Software),,0.63
464,asjobssdsu.applicantpro.com,17963,https://asjobssdsu.applicantpro.com/core/jobs/17963?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://asjobssdsu.applicantpro.com/jobs/,200,14,https://asjobssdsu.applicantpro.com/jobs/4159801,AS Food Pantry Lead,,0.64
493,atgcontracting.applicantpro.com,9003,https://atgcontracting.applicantpro.com/core/jobs/9003?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://atgcontracting.applicantpro.com/jobs/,200,3,https://atgcontracting.applicantpro.com/jobs/4040786,"Cost Analyst, Senior",,0.65
582,azgt.applicantpro.com,3365,https://azgt.applicantpro.com/core/jobs/3365?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://azgt.applicantpro.com/jobs/,200,2,https://azgt.applicantpro.com/jobs/4165277,Administrative Assistant,,0.64
606,bannerdefenseinc.applicantpro.com,16816,https://bannerdefenseinc.applicantpro.com/core/jobs/16816?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bannerdefenseinc.applicantpro.com/jobs/,200,20,https://Bannerdefenseinc.applicantpro.com/jobs/4133883,AI Engineer,,0.66
625,bastiontechnologies.applicantpro.com,3360,https://bastiontechnologies.applicantpro.com/core/jobs/3360?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bastiontechnologies.applicantpro.com/jobs/,200,40,https://bastiontechnologies.applicantpro.com/jobs/4100145,"Component Engineer, SME (BT-26115)",,0.55
627,batteriesplus.applicantpro.com,16440,https://batteriesplus.applicantpro.com/core/jobs/16440?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://batteriesplus.applicantpro.com/jobs/,200,109,https://batteriesplus.applicantpro.com/jobs/4150664,Accounts Payable Manager,,1.21
643,bcbforlife.applicantpro.com,35,https://bcbforlife.applicantpro.com/core/jobs/35?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bcbforlife.applicantpro.com/jobs/,200,6,https://bcbforlife.applicantpro.com/jobs/4151185,Relationship Specialist,,0.62
656,bcisse.applicantpro.com,939,https://bcisse.applicantpro.com/core/jobs/939?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bcisse.applicantpro.com/jobs/,200,7,https://bcisse.applicantpro.com/jobs/4164658,Human Factors Engineer (Anthro),,0.57
658,bcmud.applicantpro.com,15341,https://bcmud.applicantpro.com/core/jobs/15341?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bcmud.applicantpro.com/jobs/,200,7,https://bcmud.applicantpro.com/jobs/4132166,Camp Counselor (After School),,0.70
661,beachestanningcenter.applicantpro.com,9135,https://beachestanningcenter.applicantpro.com/core/jobs/9135?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://beachestanningcenter.applicantpro.com/jobs/,200,17,https://beachestanningcenter.applicantpro.com/jobs/4147611,Assistant Store Manager - Saratoga Springs,,0.67
669,bedrosians.applicantpro.com,4045,https://bedrosians.applicantpro.com/core/jobs/4045?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://bedrosians.applicantpro.com/jobs/,200,56,https://bedrosians.applicantpro.com/jobs/4128084,Accounts Receivable Clerk,,0.71
691,beneschlaw.applicantpro.com,10450,https://beneschlaw.applicantpro.com/core/jobs/10450?getParams=%7B%22isInternal%22%3A0%2C%22showLocation%22%3A1%2C%22showEmploymentType%22%3A1%2C%22showWorkplaceType%22%3A1%2C%22chatToApplyButton%22%3A%220%22%7D,https://beneschlaw.applicantpro.com/jobs/,200,37,https://beneschlaw.applicantpro.com/jobs/4051173,Accounting Intake Specialist,,0.62
