source_row,domain,list_url,pages_fetched,job_links_found,sample_job_url,error,elapsed_seconds
20,2circleinc.bamboohr.com,https://2circleinc.bamboohr.com/careers/list,1,16,https://2circleinc.bamboohr.com/careers/120,,0.50
23,33floors.bamboohr.com,https://33floors.bamboohr.com/careers/list,1,6,https://33floors.bamboohr.com/careers/73,,0.37
25,360privacy.bamboohr.com,https://360privacy.bamboohr.com/careers/list,1,6,https://360privacy.bamboohr.com/careers/103,,0.52
26,3clife.bamboohr.com,https://3clife.bamboohr.com/careers/list,1,4,https://3clife.bamboohr.com/careers/69,,0.43
31,415.bamboohr.com,https://415.bamboohr.com/careers/list,1,3,https://415.bamboohr.com/careers/75,,0.36
34,4wallsrespage.bamboohr.com,https://4wallsrespage.bamboohr.com/careers/list,1,1,https://4wallsrespage.bamboohr.com/careers/70,,0.45
41,97thfloor.bamboohr.com,https://97thfloor.bamboohr.com/careers/list,1,6,https://97thfloor.bamboohr.com/careers/35,,0.45
48,a3.bamboohr.com,https://a3.bamboohr.com/careers/list,1,23,https://a3.bamboohr.com/careers/32,,0.44
79,acceler8labs.bamboohr.com,https://acceler8labs.bamboohr.com/careers/list,1,3,https://acceler8labs.bamboohr.com/careers/49,,0.39
81,acceltalentgroup.bamboohr.com,https://acceltalentgroup.bamboohr.com/careers/list,1,24,https://acceltalentgroup.bamboohr.com/careers/65,,1.85
89,accordant.bamboohr.com,https://accordant.bamboohr.com/careers/list,1,6,https://accordant.bamboohr.com/careers/49,,0.43
95,accuratetemps.bamboohr.com,https://accuratetemps.bamboohr.com/careers/list,1,43,https://accuratetemps.bamboohr.com/careers/1510,,0.56
97,acdconnect.bamboohr.com,https://acdconnect.bamboohr.com/careers/list,1,8,https://acdconnect.bamboohr.com/careers/57,,0.32
98,acddirect.bamboohr.com,https://acddirect.bamboohr.com/careers/list,1,2,https://acddirect.bamboohr.com/careers/81,,0.49
102,aceelectric.bamboohr.com,https://aceelectric.bamboohr.com/careers/list,1,84,https://aceelectric.bamboohr.com/careers/601,,2.58
104,aceinctrial.bamboohr.com,https://aceinctrial.bamboohr.com/careers/list,1,13,https://aceinctrial.bamboohr.com/careers/107,,0.43
121,acuityinnovations.bamboohr.com,https://acuityinnovations.bamboohr.com/careers/list,1,8,https://acuityinnovations.bamboohr.com/careers/195,,0.35
128,addainfusion.bamboohr.com,https://addainfusion.bamboohr.com/careers/list,1,13,https://addainfusion.bamboohr.com/careers/51,,0.60
156,aftershockmediagroup.bamboohr.com,https://aftershockmediagroup.bamboohr.com/careers/list,1,3,https://aftershockmediagroup.bamboohr.com/careers/76,,0.39
172,aier.bamboohr.com,https://aier.bamboohr.com/careers/list,1,1,https://aier.bamboohr.com/careers/71,,0.46
