domain,search_url,pages_fetched,job_links_found,sample_job_url,error,elapsed_seconds
2careers-petsmart.icims.com,https://2careers-petsmart.icims.com/jobs,1,0,,,0.64
americas-cookmedical.icims.com,https://americas-cookmedical.icims.com/jobs/search?ss=1,1,20,https://americas-cookmedical.icims.com/jobs/16474/custodian/job,,0.30
apjcareers-docusign.icims.com,https://apjcareers-docusign.icims.com/jobs,1,0,,,0.53
application-oneblood.icims.com,https://application-oneblood.icims.com/jobs/search?ss=1,1,20,https://application-oneblood.icims.com/jobs/16619/account-representative/job,,0.26
applicationinvite-ketteringhealth.icims.com,https://applicationinvite-ketteringhealth.icims.com/jobs/search?ss=1,1,20,https://applicationinvite-ketteringhealth.icims.com/jobs/60331/buyer-inventory-control-pharmacy/job,,0.26
apply-bwfed.icims.com,https://apply-bwfed.icims.com/jobs/search?ss=1,1,20,https://apply-bwfed.icims.com/jobs/3258/quality-assurance-manager/job,,0.50
apply-cort.icims.com,https://apply-cort.icims.com/jobs/search?ss=1,1,20,https://apply-cort.icims.com/jobs/9518/delivery-driver---furniture-assembler/job,,0.24
apply-intelligentwaves.icims.com,https://apply-intelligentwaves.icims.com/jobs/search?ss=1,1,5,https://apply-intelligentwaves.icims.com/jobs/4404/tech-writer/job,,0.22
apply-yelp.icims.com,https://apply-yelp.icims.com/jobs/search?ss=1,1,50,https://apply-yelp.icims.com/jobs/13987/senior-account-executive%2c-saas-sales-%28remote---us%29/job,,0.32
arc-onesolutions.icims.com,https://arc-onesolutions.icims.com/jobs/search?ss=1,1,2,https://arc-onesolutions.icims.com/jobs/16614/senior-full-stack-eng/job,,0.22
artemisarc-aptiveresources.icims.com,https://artemisarc-aptiveresources.icims.com/jobs/search?ss=1,1,44,https://artemisarc-aptiveresources.icims.com/jobs/4471/senior-stakeholder-engagement-specialist/job,,0.42
associates-brightviewseniorliving.icims.com,https://associates-brightviewseniorliving.icims.com/jobs/search?ss=1,1,50,https://associates-brightviewseniorliving.icims.com/jobs/12602/wellspring-village-director/job,,0.53
bowheadcareers-uicalaska.icims.com,https://bowheadcareers-uicalaska.icims.com/jobs/search?ss=1,1,50,https://bowheadcareers-uicalaska.icims.com/jobs/25623/space-control-trainer-%28ccs%29/job,,0.34
bridgecrestsuites-careers-fundltc.icims.com,https://bridgecrestsuites-careers-fundltc.icims.com/jobs/search?ss=1,1,4,https://bridgecrestsuites-careers-fundltc.icims.com/jobs/6043/licensed-social-worker/job,,0.37
