source_row,domain,api_url,careers_url,status_code,job_links_found,sample_job_url,sample_title,sample_posted_at,error,elapsed_seconds
30,3yearsonarock.jobsoid.com,https://3yearsonarock.jobsoid.com/api/v1/jobs,https://3yearsonarock.jobsoid.com/,200,50,https://3yearsonarock.jobsoid.com/j/136527/remote-opportunity-for-health-services-professionals-exploring-a-new-professional-chapter,Remote Opportunity for Health Services Professionals Exploring a New Professional Chapter,2026-07-16T01:44:18.83,,1.39
293,amerisource.jobsoid.com,https://amerisource.jobsoid.com/api/v1/jobs,https://amerisource.jobsoid.com/,200,3,https://amerisource.jobsoid.com/j/136742/devsecops-engineer,DevSecOps Engineer,2026-07-29T16:40:43.583,,1.22
3370,fallingwaterdreams.jobsoid.com,https://fallingwaterdreams.jobsoid.com/api/v1/jobs,https://fallingwaterdreams.jobsoid.com/,200,1,https://fallingwaterdreams.jobsoid.com/j/136656/online-training-specialist-remote,Online Training Specialist - Remote,2026-07-25T01:39:29.027,,1.02
3437,firstscribe.jobsoid.com,https://firstscribe.jobsoid.com/api/v1/jobs,https://firstscribe.jobsoid.com/,200,2,https://firstscribe.jobsoid.com/j/136120/seo-geo-manager,SEO & GEO Manager,2026-07-01T01:12:45.45,,0.95
4967,lifeofprosperity.jobsoid.com,https://lifeofprosperity.jobsoid.com/api/v1/jobs,https://lifeofprosperity.jobsoid.com/,200,1,https://lifeofprosperity.jobsoid.com/j/127049/senior-customer-success-manager-remote-flexible-performance-based-role,Senior Customer Success Manager (Remote | Flexible | Performance-Based Role),2026-07-14T22:05:01.153,,1.03
4983,linqmjobs.jobsoid.com,https://linqmjobs.jobsoid.com/api/v1/jobs,https://linqmjobs.jobsoid.com/,200,6,https://linqmjobs.jobsoid.com/j/135169/business-development-associate-outside-sales-events-partnerships,"Business Development Associate (outside sales, events, partnerships)",2026-06-29T01:00:11.923,,1.24
5499,nexgen.jobsoid.com,https://nexgen.jobsoid.com/api/v1/jobs,https://nexgen.jobsoid.com/,200,4,https://nexgen.jobsoid.com/j/98939/saas-client-account-manager,SaaS Client Account Manager,2026-06-30T23:05:05.143,,1.22
5977,popcorncoaching.jobsoid.com,https://popcorncoaching.jobsoid.com/api/v1/jobs,https://popcorncoaching.jobsoid.com/,200,3,https://popcorncoaching.jobsoid.com/j/136570/hr-people-development-consultant-remote,HR & People Development Consultant – Remote,2026-07-20T01:28:42.243,,1.19
6105,quantumleap.jobsoid.com,https://quantumleap.jobsoid.com/api/v1/jobs,https://quantumleap.jobsoid.com/,200,1,https://quantumleap.jobsoid.com/j/128946/creative-marketing-specialist-remote-work,Creative Marketing Specialist (remote work),2026-07-22T20:24:40.923,,1.14
7616,wholeheartedlifestyle.jobsoid.com,https://wholeheartedlifestyle.jobsoid.com/api/v1/jobs,https://wholeheartedlifestyle.jobsoid.com/,200,10,https://wholeheartedlifestyl.jobsoid.com/j/136165/leadership-development-specialist-remote,Leadership Development Specialist| Remote,2026-07-02T22:59:20.247,,1.23
