source_row,domain,site,api_url,careers_url,status_code,validated,total_jobs,sample_job_id,sample_title,sample_company,sample_job_url,error,elapsed_seconds
2153,cbdt.fa.us2.oraclecloud.com,CX_3001,"https://cbdt.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_3001,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://cbdt.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3001,200,True,28,43154,Human Resources Business Partner,TWB,https://cbdt.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3001/job/43154,,2.13
2155,cbha.fa.us2.oraclecloud.com,CX_1,"https://cbha.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://cbha.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,225,8100,Senior On-Site Service Specialist,Ricoh Americas Holdings,https://cbha.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/8100,,1.88
2156,cbhm.fa.us2.oraclecloud.com,CX_1001,"https://cbhm.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1001,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://cbhm.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,200,True,86,2302,"Sr. Manager, Corporate Tax","Zeus Industrial Products, Inc.",https://cbhm.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/2302,,3.43
2178,ccyj.fa.us6.oraclecloud.com,CX,"https://ccyj.fa.us6.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://ccyj.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX,200,True,82,1994,"Part Time Staff Assistant, Testing Center",Lorain County Community College,https://ccyj.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/1994,,1.86
2616,cva.fa.us1.oraclecloud.com,CX_3,"https://cva.fa.us1.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_3,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://cva.fa.us1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3,200,True,231,9884,Mechanic (Test Cell),HGE Components-CRS,https://cva.fa.us1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/9884,,2.72
2737,dfa.fa.us1.oraclecloud.com,CX_1001,"https://dfa.fa.us1.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1001,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://dfa.fa.us1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,200,True,42,798,Business Services Recruiting Supervisor,Business Services Staff,https://dfa.fa.us1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/798,,2.33
2841,eabw.fa.us2.oraclecloud.com,CX_1,"https://eabw.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://eabw.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,99,30951,Customer Service Representative,Americas Support India MT1020,https://eabw.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/30951,,2.32
2858,ebdt.fa.us2.oraclecloud.com,CX_9003,"https://ebdt.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_9003,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://ebdt.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_9003,200,True,52,1673,Apps DBA,2100 - Oracle Implementation Services,https://ebdt.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_9003/job/1673,,2.31
2859,ebez.fa.us2.oraclecloud.com,CX_1,"https://ebez.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_1,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://ebez.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1,200,True,367,19373,Audit and Tax Associate | Fall 2028,"CBIZ, Inc.",https://ebez.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/19373,,1.96
2860,ebfr.fa.us2.oraclecloud.com,CX_3001,"https://ebfr.fa.us2.oraclecloud.com/hcmRestApi/resources/latest/recruitingCEJobRequisitions?onlyData=true&finder=findReqs;siteNumber=CX_3001,limit=100,offset=0,sortBy=POSTING_DATES_DESC&expand=requisitionList",https://ebfr.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3001,200,True,226,10962,Project Coordinator,Oceaneering Group Enterprise,https://ebfr.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3001/job/10962,,1.99
