"domain","site","source_file"
"2020companies.wd1.myworkdayjobs.com","External_Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"3m.wd1.myworkdayjobs.com","Search","workday_valid_dbseed_batch2_100_including_known.csv"
"7eleven.wd3.myworkdayjobs.com","7eleven","workday_skip_previous_for_batch3.csv"
"7eleven.wd3.myworkdayjobs.com","7elevenv2","workday_skip_previous_for_batch3.csv"
"9dot.wd503.myworkdayjobs.com","PIE_Careers","workday_skip_previous_for_batch3.csv"
"a1group.wd3.myworkdayjobs.com","A1_Jobs","workday_skip_previous_for_batch3.csv"
"a1group.wd3.myworkdayjobs.com","A1_Jobs_at","workday_skip_previous_for_batch3.csv"
"a1group.wd3.myworkdayjobs.com","A1_Jobs_bg","workday_skip_previous_for_batch3.csv"
"a1group.wd3.myworkdayjobs.com","A1_Jobs_cr","workday_skip_previous_for_batch3.csv"
"a1group.wd3.myworkdayjobs.com","A1_Jobs_mk","workday_skip_previous_for_batch3.csv"
"a1group.wd3.myworkdayjobs.com","A1_Jobs_sl","workday_skip_previous_for_batch3.csv"
"a1group.wd3.myworkdayjobs.com","A1_Jobs_sr","workday_skip_previous_for_batch3.csv"
"a1group.wd3.myworkdayjobs.com","karriere_at","workday_skip_previous_for_batch3.csv"
"aalto.wd3.myworkdayjobs.com","aalto","workday_skip_previous_for_batch3.csv"
"aampower.wd1.myworkdayjobs.com","AAM-Career-Site","workday_commoncrawl_valid_batch3_100.csv"
"aaregional.wd503.myworkdayjobs.com","Search","workday_skip_previous_for_batch3.csv"
"aba.wd1.myworkdayjobs.com","ABA","workday_skip_previous_for_batch3.csv"
"abcfws.wd1.myworkdayjobs.com","abcfws","workday_skip_previous_for_batch3.csv"
"abrdn.wd3.myworkdayjobs.com","abrdn","workday_skip_previous_for_batch3.csv"
"absa.wd3.myworkdayjobs.com","ABSAcareersite","workday_skip_previous_for_batch3.csv"
"absa.wd3.myworkdayjobs.com","NBC_Careers","workday_skip_previous_for_batch3.csv"
"academy.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"accelleron.wd3.myworkdayjobs.com","Accelleron","workday_skip_previous_for_batch3.csv"
"accuray.wd5.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"ace.wd5.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"acehardware.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"acelero.wd1.myworkdayjobs.com","ShineEarlyLearningCareers","workday_commoncrawl_valid_batch3_100.csv"
"acendahealth.wd501.myworkdayjobs.com","broadbean_external","workday_skip_previous_for_batch3.csv"
"acg.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"adient.wd3.myworkdayjobs.com","broadbean_external","workday_skip_previous_for_batch3.csv"
"adient.wd3.myworkdayjobs.com","External","workday_skip_previous_for_batch3.csv"
"advantech.wd3.myworkdayjobs.com","External","workday_skip_previous_for_batch3.csv"
"aero.wd5.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"aesop.wd3.myworkdayjobs.com","aesopcareers","workday_commoncrawl_valid_batch3_100.csv"
"aesop.wd3.myworkdayjobs.com","broadbean_external","workday_commoncrawl_valid_batch3_100.csv"
"agoc.wd5.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"aia.wd3.myworkdayjobs.com","AIA-Digital","workday_commoncrawl_valid_batch3_100.csv"
"aia.wd3.myworkdayjobs.com","amplifyhealthexternal","workday_commoncrawl_valid_batch3_100.csv"
"aia.wd3.myworkdayjobs.com","External","workday_commoncrawl_valid_batch3_100.csv"
"aims.wd1.myworkdayjobs.com","Jobs","workday_valid_dbseed_batch2_100_including_known.csv"
"airasia.wd3.myworkdayjobs.com","Careers","workday_skip_previous_for_batch3.csv"
"akamerica.wd501.myworkdayjobs.com","aka","workday_skip_previous_for_batch3.csv"
"aksteel.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"albemarle.wd5.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"alcoa.wd5.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"allegion.wd5.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"alliancewd.wd3.myworkdayjobs.com","alpine-racing-careers","workday_skip_previous_for_batch3.csv"
"alliancewd.wd3.myworkdayjobs.com","renault-group-careers","workday_skip_previous_for_batch3.csv"
"allofiber.wd501.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"alsglobal.wd103.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"altaishealthsolutions.wd108.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"altamed.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"altasciences.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"altru.wd503.myworkdayjobs.com","careers","workday_skip_previous_for_batch3.csv"
"altusgroup.wd3.myworkdayjobs.com","AltusGroup","workday_skip_previous_for_batch3.csv"
"amadeus.wd502.myworkdayjobs.com","Jobs","workday_valid_dbseed_batch2_100_including_known.csv"
"amat.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"ameren.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"americanfidelity.wd5.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"amerilife.wd5.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"amfam.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"amgen.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"amh.wd12.myworkdayjobs.com","External_Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"amynta.wd5.myworkdayjobs.com","Global","workday_valid_dbseed_batch2_100_including_known.csv"
"analogdevices.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"ancestry.wd501.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"anchorglass.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"applyboard.wd3.myworkdayjobs.com","ApplyBoardNH","workday_skip_previous_for_batch3.csv"
"archgroup.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"archwellessentials.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"arcticwolf.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"aresmgmt.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"aritzia.wd3.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"arlo.wd12.myworkdayjobs.com","External_Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"asmglobal.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"associatedbank.wd1.myworkdayjobs.com","External_Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"astrazeneca.wd3.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"athenahealth.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"atmosenergy.wd108.myworkdayjobs.com","External_Career_Site","workday_valid_dbseed_batch2_100_including_known.csv"
"audubon.wd503.myworkdayjobs.com","Audubon","workday_skip_previous_for_batch3.csv"
"austincc.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"autonation.wd5.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"avant.wd503.myworkdayjobs.com","External_Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"averis.wd3.myworkdayjobs.com","RGE","workday_skip_previous_for_batch3.csv"
"avnet.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"axis.wd3.myworkdayjobs.com","External_Career_Site","workday_valid_dbseed_batch2_100_including_known.csv"
"baicommunications.wd3.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"baird.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"baltimorecity.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"bannerhealth.wd108.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"basspro.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"baystatehealth.wd12.myworkdayjobs.com","External_Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"bbinsurance.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"bcbst.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"bcbswy.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"becu.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"bellpartnersinc.wd5.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"bentley.wd503.myworkdayjobs.com","faculty","workday_skip_previous_for_batch3.csv"
"bentley.wd503.myworkdayjobs.com","staff","workday_skip_previous_for_batch3.csv"
"bestwestern.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"bhs.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"biibhr.wd3.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"blackbaud.wd1.myworkdayjobs.com","ExternalCareers","workday_valid_dbseed_batch2_100_including_known.csv"
"bmo.wd3.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"boeing.wd1.myworkdayjobs.com","External_Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"bouldercolorado.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"bridgestone.wd5.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"bristow.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"broadridge.wd5.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"brownhealth.wd12.myworkdayjobs.com","External_Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"brunswick.wd1.myworkdayjobs.com","Search","workday_valid_dbseed_batch2_100_including_known.csv"
"btisolutions.wd12.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"burkert.wd502.myworkdayjobs.com","burkert-career","workday_skip_previous_for_batch3.csv"
"caa.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"cabotcorp.wd12.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"caci.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"cadence.wd1.myworkdayjobs.com","External_Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"cae.wd3.myworkdayjobs.com","Career","workday_valid_dbseed_batch2_100_including_known.csv"
"campingworld.wd5.myworkdayjobs.com","Jobs","workday_valid_dbseed_batch2_100_including_known.csv"
"canohealth.wd5.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"carilionclinic.wd12.myworkdayjobs.com","External_Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"carmax.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"carrier.wd5.myworkdayjobs.com","Jobs","workday_valid_dbseed_batch2_100_including_known.csv"
"catalent.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"cdw.wd5.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"cesco.wd501.myworkdayjobs.com","CESCOCareers","workday_skip_previous_for_batch3.csv"
"cfindustries.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"chevron.wd5.myworkdayjobs.com","Jobs","workday_valid_dbseed_batch2_100_including_known.csv"
"choa.wd12.myworkdayjobs.com","ExternalCareers","workday_valid_dbseed_batch2_100_including_known.csv"
"choicehotels.wd5.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"chordenergy.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"cibc.wd3.myworkdayjobs.com","Search","workday_valid_dbseed_batch2_100_including_known.csv"
"ciena.wd5.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"cityutilities.wd5.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"clarivate.wd3.myworkdayjobs.com","Jobs","workday_valid_dbseed_batch2_100_including_known.csv"
"claylacy.wd501.myworkdayjobs.com","Clay_Lacy_Aviation_Careers","workday_skip_previous_for_batch3.csv"
"collegeboard.wd1.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"conocophillips.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"cornerstone.wd501.myworkdayjobs.com","CornerstoneResearch_Careers","workday_skip_previous_for_batch3.csv"
"cotality.wd115.myworkdayjobs.com","Global","workday_valid_dbseed_batch2_100_including_known.csv"
"cranecompany.wd5.myworkdayjobs.com","Careers","workday_valid_dbseed_batch2_100_including_known.csv"
"cryoport.wd12.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"cw.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"dow.wd1.myworkdayjobs.com","ExternalCareers","workday_valid_dbseed_batch2_100_including_known.csv"
"duboischemicals.wd1.myworkdayjobs.com","External","workday_valid_dbseed_batch2_100_including_known.csv"
"elemica.wd501.myworkdayjobs.com","Elemica_Careers","workday_skip_previous_for_batch3.csv"
"exos.wd501.myworkdayjobs.com","EXOSCAREERS","workday_skip_previous_for_batch3.csv"
"fhsu.wd503.myworkdayjobs.com","CAREERS","workday_skip_previous_for_batch3.csv"
"freshfields.wd3.myworkdayjobs.com","FBD_101","workday_skip_previous_for_batch3.csv"
"fronius.wd3.myworkdayjobs.com","Job_Board","workday_skip_previous_for_batch3.csv"
"frontiereconomics.wd3.myworkdayjobs.com","Frontier_Economics_Careers","workday_skip_previous_for_batch3.csv"
"fugro.wd3.myworkdayjobs.com","Careers","workday_skip_previous_for_batch3.csv"
"galvestoncountytx.wd503.myworkdayjobs.com","CountyofGalvestonCareers","workday_skip_previous_for_batch3.csv"
"gea.wd3.myworkdayjobs.com","GEACareers","workday_skip_previous_for_batch3.csv"
"gianttiger.wd3.myworkdayjobs.com","gianttiger","workday_skip_previous_for_batch3.csv"
"greathearts.wd503.myworkdayjobs.com","GreatHearts_Careers","workday_skip_previous_for_batch3.csv"
"grpr.wd3.myworkdayjobs.com","palace_jobs","workday_skip_previous_for_batch3.csv"
